two_wheelers,cars,buses,trucks,timestamp
263,571,37,63,2024-01-03 01:00:00
390,484,27,81,2024-01-03 02:00:00
373,691,36,85,2024-01-03 03:00:00
384,774,36,105,2024-01-03 04:00:00
506,691,47,110,2024-01-03 05:00:00
580,747,58,90,2024-01-03 06:00:00
1543,1802,89,97,2024-01-03 07:00:00
1263,1728,56,79,2024-01-03 08:00:00
1452,1930,119,108,2024-01-03 09:00:00
665,1332,66,117,2024-01-03 10:00:00
743,999,57,110,2024-01-03 11:00:00
606,989,67,136,2024-01-03 12:00:00
630,936,67,78,2024-01-03 13:00:00
528,1126,57,93,2024-01-03 14:00:00
500,948,63,119,2024-01-03 15:00:00
648,835,53,117,2024-01-03 16:00:00
1629,2077,76,82,2024-01-03 17:00:00
1243,1951,68,61,2024-01-03 18:00:00
1333,1350,55,65,2024-01-03 19:00:00
450,492,44,90,2024-01-03 20:00:00
358,729,43,86,2024-01-03 21:00:00
392,534,40,74,2024-01-03 22:00:00
439,639,40,84,2024-01-03 23:00:00
351,397,37,75,2024-01-04 00:00:00
441,649,33,63,2024-01-04 01:00:00
226,488,42,71,2024-01-04 02:00:00
446,704,32,63,2024-01-04 03:00:00
434,686,37,84,2024-01-04 04:00:00
444,637,40,108,2024-01-04 05:00:00
510,756,59,111,2024-01-04 06:00:00
952,1915,93,105,2024-01-04 07:00:00
1400,1882,93,88,2024-01-04 08:00:00
1607,2124,106,117,2024-01-04 09:00:00
775,1316,55,123,2024-01-04 10:00:00
599,795,68,159,2024-01-04 11:00:00
575,1301,64,130,2024-01-04 12:00:00
600,1055,73,144,2024-01-04 13:00:00
721,878,62,155,2024-01-04 14:00:00
640,782,58,119,2024-01-04 15:00:00
533,900,63,120,2024-01-04 16:00:00
1461,1976,92,104,2024-01-04 17:00:00
1277,1580,68,79,2024-01-04 18:00:00
1330,1823,69,60,2024-01-04 19:00:00
383,536,36,113,2024-01-04 20:00:00
377,633,25,74,2024-01-04 21:00:00
351,484,38,76,2024-01-04 22:00:00
279,603,39,84,2024-01-04 23:00:00
369,640,37,64,2024-01-05 00:00:00
372,537,25,61,2024-01-05 01:00:00
374,364,35,77,2024-01-05 02:00:00
383,655,27,58,2024-01-05 03:00:00
338,731,52,82,2024-01-05 04:00:00
436,789,39,96,2024-01-05 05:00:00
478,956,60,97,2024-01-05 06:00:00
1195,1460,93,67,2024-01-05 07:00:00
1415,2045,75,115,2024-01-05 08:00:00
1621,2306,76,99,2024-01-05 09:00:00
815,745,67,154,2024-01-05 10:00:00
667,1091,57,125,2024-01-05 11:00:00
681,970,67,114,2024-01-05 12:00:00
643,1028,60,135,2024-01-05 13:00:00
452,1070,47,123,2024-01-05 14:00:00
609,907,41,101,2024-01-05 15:00:00
585,834,60,142,2024-01-05 16:00:00
1861,1748,75,79,2024-01-05 17:00:00
1224,1351,69,58,2024-01-05 18:00:00
1215,1246,77,89,2024-01-05 19:00:00
426,756,50,79,2024-01-05 20:00:00
328,526,38,72,2024-01-05 21:00:00
437,657,35,55,2024-01-05 22:00:00
399,613,39,90,2024-01-05 23:00:00
237,252,17,34,2024-01-06 00:00:00
186,309,22,43,2024-01-06 01:00:00
272,423,24,51,2024-01-06 02:00:00
189,326,26,51,2024-01-06 03:00:00
280,383,18,51,2024-01-06 04:00:00
371,478,25,42,2024-01-06 05:00:00
258,542,26,53,2024-01-06 06:00:00
747,1006,50,54,2024-01-06 07:00:00
884,1015,56,49,2024-01-06 08:00:00
849,1426,67,61,2024-01-06 09:00:00
293,770,35,84,2024-01-06 10:00:00
395,717,36,89,2024-01-06 11:00:00
331,639,46,64,2024-01-06 12:00:00
419,550,41,104,2024-01-06 13:00:00
329,535,45,85,2024-01-06 14:00:00
453,634,38,73,2024-01-06 15:00:00
308,593,29,81,2024-01-06 16:00:00
777,1265,39,71,2024-01-06 17:00:00
850,1065,35,38,2024-01-06 18:00:00
570,693,46,43,2024-01-06 19:00:00
266,477,30,33,2024-01-06 20:00:00
286,325,31,49,2024-01-06 21:00:00
170,338,25,47,2024-01-06 22:00:00
221,357,25,43,2024-01-06 23:00:00
221,442,19,38,2024-01-07 00:00:00
241,506,18,30,2024-01-07 01:00:00
183,392,25,47,2024-01-07 02:00:00
192,372,25,58,2024-01-07 03:00:00
278,446,26,47,2024-01-07 04:00:00
293,508,30,60,2024-01-07 05:00:00
315,462,32,46,2024-01-07 06:00:00
860,1329,59,56,2024-01-07 07:00:00
784,1156,63,53,2024-01-07 08:00:00
952,1266,60,52,2024-01-07 09:00:00
399,673,43,68,2024-01-07 10:00:00
350,666,42,74,2024-01-07 11:00:00
505,711,37,83,2024-01-07 12:00:00
419,569,44,63,2024-01-07 13:00:00
314,561,30,72,2024-01-07 14:00:00
404,492,43,73,2024-01-07 15:00:00
298,595,29,58,2024-01-07 16:00:00
915,1169,51,66,2024-01-07 17:00:00
891,1038,40,42,2024-01-07 18:00:00
614,1121,45,40,2024-01-07 19:00:00
295,413,26,44,2024-01-07 20:00:00
254,421,18,61,2024-01-07 21:00:00
252,301,24,49,2024-01-07 22:00:00
277,325,20,37,2024-01-07 23:00:00
342,627,40,83,2024-01-08 00:00:00
319,649,36,74,2024-01-08 01:00:00
325,574,40,78,2024-01-08 02:00:00
350,632,34,76,2024-01-08 03:00:00
426,532,39,76,2024-01-08 04:00:00
491,708,44,98,2024-01-08 05:00:00
528,919,57,93,2024-01-08 06:00:00
1535,1899,103,111,2024-01-08 07:00:00
1460,2005,77,76,2024-01-08 08:00:00
1871,1981,107,121,2024-01-08 09:00:00
613,1023,43,126,2024-01-08 10:00:00
920,942,54,137,2024-01-08 11:00:00
721,1165,56,148,2024-01-08 12:00:00
570,1112,52,118,2024-01-08 13:00:00
536,1097,49,144,2024-01-08 14:00:00
659,905,65,73,2024-01-08 15:00:00
563,631,56,104,2024-01-08 16:00:00
1512,2036,87,75,2024-01-08 17:00:00
1357,1505,84,66,2024-01-08 18:00:00
1156,1302,73,72,2024-01-08 19:00:00
376,761,47,91,2024-01-08 20:00:00
309,601,40,88,2024-01-08 21:00:00
350,696,31,78,2024-01-08 22:00:00
406,629,42,65,2024-01-08 23:00:00
367,627,32,75,2024-01-09 00:00:00
293,459,31,73,2024-01-09 01:00:00
386,711,37,86,2024-01-09 02:00:00
423,665,35,89,2024-01-09 03:00:00
374,652,40,87,2024-01-09 04:00:00
479,765,49,81,2024-01-09 05:00:00
512,596,53,92,2024-01-09 06:00:00
1133,1858,71,80,2024-01-09 07:00:00
1538,1580,81,89,2024-01-09 08:00:00
1668,1570,107,102,2024-01-09 09:00:00
744,790,69,142,2024-01-09 10:00:00
758,1223,86,130,2024-01-09 11:00:00
524,956,78,132,2024-01-09 12:00:00
563,1289,77,134,2024-01-09 13:00:00
689,941,51,118,2024-01-09 14:00:00
663,732,69,106,2024-01-09 15:00:00
629,778,58,86,2024-01-09 16:00:00
2158,2075,75,78,2024-01-09 17:00:00
1378,1587,78,87,2024-01-09 18:00:00
1370,1375,80,67,2024-01-09 19:00:00
493,707,46,83,2024-01-09 20:00:00
439,688,35,86,2024-01-09 21:00:00
358,702,42,81,2024-01-09 22:00:00
402,702,33,60,2024-01-09 23:00:00
315,539,37,82,2024-01-10 00:00:00
348,463,34,84,2024-01-10 01:00:00
349,565,36,63,2024-01-10 02:00:00
406,666,45,70,2024-01-10 03:00:00
582,592,36,102,2024-01-10 04:00:00
338,643,61,92,2024-01-10 05:00:00
561,856,37,68,2024-01-10 06:00:00
1039,1741,75,69,2024-01-10 07:00:00
1359,1881,93,90,2024-01-10 08:00:00
1793,1748,101,81,2024-01-10 09:00:00
647,990,63,120,2024-01-10 10:00:00
550,904,65,132,2024-01-10 11:00:00
590,1199,70,161,2024-01-10 12:00:00
723,1212,63,125,2024-01-10 13:00:00
571,741,77,149,2024-01-10 14:00:00
636,849,69,150,2024-01-10 15:00:00
589,726,66,142,2024-01-10 16:00:00
1236,1583,70,91,2024-01-10 17:00:00
1680,1607,75,57,2024-01-10 18:00:00
1284,1175,67,80,2024-01-10 19:00:00
301,596,37,100,2024-01-10 20:00:00
412,545,42,79,2024-01-10 21:00:00
339,621,35,95,2024-01-10 22:00:00
407,584,40,82,2024-01-10 23:00:00
314,509,30,77,2024-01-11 00:00:00
356,594,46,84,2024-01-11 01:00:00
406,554,33,79,2024-01-11 02:00:00
453,616,41,50,2024-01-11 03:00:00
355,867,48,80,2024-01-11 04:00:00
446,903,43,111,2024-01-11 05:00:00
473,656,57,90,2024-01-11 06:00:00
1238,1975,67,85,2024-01-11 07:00:00
1852,2103,107,79,2024-01-11 08:00:00
1637,1636,93,125,2024-01-11 09:00:00
520,1153,58,161,2024-01-11 10:00:00
747,1294,63,114,2024-01-11 11:00:00
873,881,74,135,2024-01-11 12:00:00
759,907,60,118,2024-01-11 13:00:00
495,1184,57,140,2024-01-11 14:00:00
573,1028,60,133,2024-01-11 15:00:00
697,1015,48,131,2024-01-11 16:00:00
1227,1846,105,92,2024-01-11 17:00:00
1358,1726,70,117,2024-01-11 18:00:00
1311,1204,79,64,2024-01-11 19:00:00
373,802,45,64,2024-01-11 20:00:00
398,755,34,76,2024-01-11 21:00:00
194,583,38,58,2024-01-11 22:00:00
306,575,40,56,2024-01-11 23:00:00
344,440,35,61,2024-01-12 00:00:00
295,625,43,62,2024-01-12 01:00:00
470,656,44,65,2024-01-12 02:00:00
316,637,46,87,2024-01-12 03:00:00
405,811,40,80,2024-01-12 04:00:00
480,715,39,92,2024-01-12 05:00:00
621,886,46,116,2024-01-12 06:00:00
1079,1490,85,78,2024-01-12 07:00:00
1723,1871,95,90,2024-01-12 08:00:00
1549,1927,63,104,2024-01-12 09:00:00
548,1063,64,91,2024-01-12 10:00:00
704,995,67,85,2024-01-12 11:00:00
683,1040,64,140,2024-01-12 12:00:00
599,1183,79,141,2024-01-12 13:00:00
650,961,68,168,2024-01-12 14:00:00
583,751,74,127,2024-01-12 15:00:00
597,1185,57,132,2024-01-12 16:00:00
1511,2124,94,85,2024-01-12 17:00:00
1579,1316,95,85,2024-01-12 18:00:00
958,1662,84,94,2024-01-12 19:00:00
572,642,36,59,2024-01-12 20:00:00
284,669,39,85,2024-01-12 21:00:00
369,631,36,100,2024-01-12 22:00:00
394,559,39,76,2024-01-12 23:00:00
224,303,24,54,2024-01-13 00:00:00
197,312,19,39,2024-01-13 01:00:00
220,313,23,45,2024-01-13 02:00:00
224,338,17,49,2024-01-13 03:00:00
238,413,32,35,2024-01-13 04:00:00
319,404,26,47,2024-01-13 05:00:00
323,541,31,51,2024-01-13 06:00:00
740,1293,47,59,2024-01-13 07:00:00
1001,1030,62,64,2024-01-13 08:00:00
972,1232,32,62,2024-01-13 09:00:00
433,664,39,87,2024-01-13 10:00:00
433,678,39,77,2024-01-13 11:00:00
349,645,37,94,2024-01-13 12:00:00
362,703,50,79,2024-01-13 13:00:00
430,663,33,78,2024-01-13 14:00:00
406,484,41,71,2024-01-13 15:00:00
352,638,37,78,2024-01-13 16:00:00
841,1198,59,50,2024-01-13 17:00:00
914,869,41,56,2024-01-13 18:00:00
644,910,38,38,2024-01-13 19:00:00
282,460,30,44,2024-01-13 20:00:00
234,374,26,53,2024-01-13 21:00:00
220,422,17,45,2024-01-13 22:00:00
254,472,20,41,2024-01-13 23:00:00
242,303,23,49,2024-01-14 00:00:00
245,277,25,40,2024-01-14 01:00:00
272,380,20,44,2024-01-14 02:00:00
243,429,14,59,2024-01-14 03:00:00
288,403,28,64,2024-01-14 04:00:00
270,552,23,70,2024-01-14 05:00:00
322,393,21,59,2024-01-14 06:00:00
811,1169,29,63,2024-01-14 07:00:00
896,1028,59,48,2024-01-14 08:00:00
1014,1499,57,51,2024-01-14 09:00:00
339,804,37,50,2024-01-14 10:00:00
521,561,48,99,2024-01-14 11:00:00
339,586,44,70,2024-01-14 12:00:00
324,716,49,78,2024-01-14 13:00:00
454,583,31,67,2024-01-14 14:00:00
417,592,37,82,2024-01-14 15:00:00
386,567,27,67,2024-01-14 16:00:00
906,754,48,43,2024-01-14 17:00:00
766,981,44,52,2024-01-14 18:00:00
613,813,46,36,2024-01-14 19:00:00
264,387,26,46,2024-01-14 20:00:00
217,471,26,33,2024-01-14 21:00:00
261,295,25,36,2024-01-14 22:00:00
213,392,29,45,2024-01-14 23:00:00
314,550,34,51,2024-01-15 00:00:00
347,558,31,57,2024-01-15 01:00:00
403,679,39,76,2024-01-15 02:00:00
370,679,36,74,2024-01-15 03:00:00
382,757,53,113,2024-01-15 04:00:00
490,867,45,121,2024-01-15 05:00:00
532,780,47,89,2024-01-15 06:00:00
1276,1606,77,96,2024-01-15 07:00:00
1370,1580,98,105,2024-01-15 08:00:00
1608,1743,91,91,2024-01-15 09:00:00
506,1491,58,100,2024-01-15 10:00:00
522,1256,83,132,2024-01-15 11:00:00
595,850,58,130,2024-01-15 12:00:00
640,848,66,124,2024-01-15 13:00:00
676,1108,71,138,2024-01-15 14:00:00
759,1076,47,110,2024-01-15 15:00:00
666,1021,63,98,2024-01-15 16:00:00
1348,1701,70,90,2024-01-15 17:00:00
1278,1610,86,87,2024-01-15 18:00:00
1005,1588,61,62,2024-01-15 19:00:00
435,706,48,99,2024-01-15 20:00:00
387,431,47,59,2024-01-15 21:00:00
398,586,43,69,2024-01-15 22:00:00
319,508,38,70,2024-01-15 23:00:00
388,590,35,65,2024-01-16 00:00:00
449,845,33,67,2024-01-16 01:00:00
374,642,46,97,2024-01-16 02:00:00
429,617,36,71,2024-01-16 03:00:00
482,795,37,119,2024-01-16 04:00:00
445,813,52,101,2024-01-16 05:00:00
531,874,45,104,2024-01-16 06:00:00
1386,1932,71,95,2024-01-16 07:00:00
1498,2473,69,130,2024-01-16 08:00:00
1376,1654,87,85,2024-01-16 09:00:00
649,1109,64,108,2024-01-16 10:00:00
712,913,69,117,2024-01-16 11:00:00
813,1157,76,134,2024-01-16 12:00:00
758,914,71,98,2024-01-16 13:00:00
856,970,63,130,2024-01-16 14:00:00
551,952,60,156,2024-01-16 15:00:00
668,1083,64,121,2024-01-16 16:00:00
1422,2015,99,85,2024-01-16 17:00:00
1706,1336,78,75,2024-01-16 18:00:00
1041,1528,66,86,2024-01-16 19:00:00
382,624,37,76,2024-01-16 20:00:00
368,525,32,103,2024-01-16 21:00:00
259,588,42,98,2024-01-16 22:00:00
336,557,40,76,2024-01-16 23:00:00
319,786,39,72,2024-01-17 00:00:00
374,623,36,84,2024-01-17 01:00:00
400,483,46,89,2024-01-17 02:00:00
519,594,38,71,2024-01-17 03:00:00
500,807,50,81,2024-01-17 04:00:00
433,997,47,76,2024-01-17 05:00:00
445,627,47,109,2024-01-17 06:00:00
1488,1274,91,98,2024-01-17 07:00:00
1186,2424,94,75,2024-01-17 08:00:00
1987,2112,99,93,2024-01-17 09:00:00
763,902,66,103,2024-01-17 10:00:00
617,1147,66,115,2024-01-17 11:00:00
497,647,91,145,2024-01-17 12:00:00
798,1062,78,118,2024-01-17 13:00:00
637,1088,72,124,2024-01-17 14:00:00
739,1136,63,94,2024-01-17 15:00:00
450,803,68,122,2024-01-17 16:00:00
1261,1797,90,88,2024-01-17 17:00:00
1287,1418,77,73,2024-01-17 18:00:00
1195,1577,68,74,2024-01-17 19:00:00
408,606,43,90,2024-01-17 20:00:00
443,609,21,71,2024-01-17 21:00:00
320,518,39,59,2024-01-17 22:00:00
358,642,34,93,2024-01-17 23:00:00
367,651,45,65,2024-01-18 00:00:00
394,565,37,72,2024-01-18 01:00:00
422,614,31,88,2024-01-18 02:00:00
337,508,40,124,2024-01-18 03:00:00
337,669,37,71,2024-01-18 04:00:00
566,755,51,101,2024-01-18 05:00:00
541,1148,54,92,2024-01-18 06:00:00
1232,1480,95,82,2024-01-18 07:00:00
1826,2313,78,85,2024-01-18 08:00:00
1588,2297,94,83,2024-01-18 09:00:00
764,1082,52,129,2024-01-18 10:00:00
671,1344,73,104,2024-01-18 11:00:00
877,1132,72,153,2024-01-18 12:00:00
840,1125,71,134,2024-01-18 13:00:00
625,1030,65,138,2024-01-18 14:00:00
716,1183,66,116,2024-01-18 15:00:00
650,1104,74,112,2024-01-18 16:00:00
1673,1610,80,93,2024-01-18 17:00:00
1102,1323,79,68,2024-01-18 18:00:00
1310,1474,60,72,2024-01-18 19:00:00
507,617,38,76,2024-01-18 20:00:00
299,643,41,70,2024-01-18 21:00:00
314,723,44,52,2024-01-18 22:00:00
254,545,35,88,2024-01-18 23:00:00
347,574,35,65,2024-01-19 00:00:00
406,592,34,86,2024-01-19 01:00:00
468,689,35,89,2024-01-19 02:00:00
411,431,42,66,2024-01-19 03:00:00
546,638,34,73,2024-01-19 04:00:00
377,786,57,132,2024-01-19 05:00:00
384,974,46,130,2024-01-19 06:00:00
1379,1648,92,89,2024-01-19 07:00:00
1569,1365,72,99,2024-01-19 08:00:00
1556,2188,103,91,2024-01-19 09:00:00
449,941,72,138,2024-01-19 10:00:00
657,875,70,119,2024-01-19 11:00:00
540,973,57,93,2024-01-19 12:00:00
732,1035,69,107,2024-01-19 13:00:00
686,946,53,130,2024-01-19 14:00:00
537,670,60,104,2024-01-19 15:00:00
548,1077,69,117,2024-01-19 16:00:00
1169,2120,93,75,2024-01-19 17:00:00
1278,1813,78,73,2024-01-19 18:00:00
1360,1263,61,86,2024-01-19 19:00:00
374,681,48,91,2024-01-19 20:00:00
437,650,41,81,2024-01-19 21:00:00
352,666,25,86,2024-01-19 22:00:00
323,645,41,79,2024-01-19 23:00:00
214,309,22,53,2024-01-20 00:00:00
186,357,26,41,2024-01-20 01:00:00
210,392,19,43,2024-01-20 02:00:00
200,476,13,39,2024-01-20 03:00:00
341,466,27,49,2024-01-20 04:00:00
288,512,30,65,2024-01-20 05:00:00
278,502,23,74,2024-01-20 06:00:00
862,1296,43,61,2024-01-20 07:00:00
877,1211,76,42,2024-01-20 08:00:00
909,1048,54,70,2024-01-20 09:00:00
427,757,43,57,2024-01-20 10:00:00
445,707,36,91,2024-01-20 11:00:00
371,602,28,76,2024-01-20 12:00:00
365,594,39,88,2024-01-20 13:00:00
375,653,38,63,2024-01-20 14:00:00
246,643,35,88,2024-01-20 15:00:00
276,588,35,56,2024-01-20 16:00:00
1007,1119,52,48,2024-01-20 17:00:00
967,1245,45,42,2024-01-20 18:00:00
688,1062,35,34,2024-01-20 19:00:00
286,434,28,53,2024-01-20 20:00:00
256,446,17,62,2024-01-20 21:00:00
336,310,16,64,2024-01-20 22:00:00
257,373,24,45,2024-01-20 23:00:00
213,442,23,51,2024-01-21 00:00:00
189,341,22,46,2024-01-21 01:00:00
175,321,18,49,2024-01-21 02:00:00
252,353,22,46,2024-01-21 03:00:00
234,353,25,54,2024-01-21 04:00:00
225,404,22,62,2024-01-21 05:00:00
280,469,28,57,2024-01-21 06:00:00
701,845,55,53,2024-01-21 07:00:00
1119,1146,65,57,2024-01-21 08:00:00
1066,1368,53,68,2024-01-21 09:00:00
391,541,44,66,2024-01-21 10:00:00
490,787,29,80,2024-01-21 11:00:00
408,696,44,104,2024-01-21 12:00:00
349,740,35,94,2024-01-21 13:00:00
481,564,41,94,2024-01-21 14:00:00
407,680,36,76,2024-01-21 15:00:00
302,478,43,75,2024-01-21 16:00:00
813,1214,44,62,2024-01-21 17:00:00
675,1020,51,61,2024-01-21 18:00:00
568,993,41,32,2024-01-21 19:00:00
301,348,26,42,2024-01-21 20:00:00
315,339,24,59,2024-01-21 21:00:00
182,401,20,44,2024-01-21 22:00:00
239,303,22,40,2024-01-21 23:00:00
328,621,36,59,2024-01-22 00:00:00
341,468,38,68,2024-01-22 01:00:00
350,692,39,61,2024-01-22 02:00:00
356,533,46,107,2024-01-22 03:00:00
444,764,50,88,2024-01-22 04:00:00
419,837,40,95,2024-01-22 05:00:00
540,743,59,113,2024-01-22 06:00:00
1386,1944,69,102,2024-01-22 07:00:00
1437,1983,97,109,2024-01-22 08:00:00
1357,1849,103,117,2024-01-22 09:00:00
597,887,47,118,2024-01-22 10:00:00
745,755,68,128,2024-01-22 11:00:00
725,1135,63,150,2024-01-22 12:00:00
571,819,59,123,2024-01-22 13:00:00
663,1060,79,131,2024-01-22 14:00:00
699,966,57,133,2024-01-22 15:00:00
447,1051,52,133,2024-01-22 16:00:00
1511,1707,85,66,2024-01-22 17:00:00
1167,1577,86,92,2024-01-22 18:00:00
1298,1698,70,74,2024-01-22 19:00:00
390,741,52,97,2024-01-22 20:00:00
298,685,44,91,2024-01-22 21:00:00
290,657,26,95,2024-01-22 22:00:00
371,453,34,89,2024-01-22 23:00:00
378,648,33,87,2024-01-23 00:00:00
319,644,40,90,2024-01-23 01:00:00
421,521,23,80,2024-01-23 02:00:00
307,631,57,82,2024-01-23 03:00:00
437,702,48,100,2024-01-23 04:00:00
392,751,49,106,2024-01-23 05:00:00
469,872,61,99,2024-01-23 06:00:00
1409,2175,113,95,2024-01-23 07:00:00
1300,2221,101,95,2024-01-23 08:00:00
1483,1618,108,88,2024-01-23 09:00:00
753,1144,67,156,2024-01-23 10:00:00
612,1285,66,135,2024-01-23 11:00:00
760,1143,63,177,2024-01-23 12:00:00
556,1247,59,101,2024-01-23 13:00:00
706,1363,59,120,2024-01-23 14:00:00
766,1162,50,127,2024-01-23 15:00:00
376,991,59,140,2024-01-23 16:00:00
1232,2071,63,95,2024-01-23 17:00:00
1411,1698,80,87,2024-01-23 18:00:00
1161,1538,71,64,2024-01-23 19:00:00
466,669,45,73,2024-01-23 20:00:00
372,808,38,86,2024-01-23 21:00:00
389,539,56,61,2024-01-23 22:00:00
360,726,44,68,2024-01-23 23:00:00
428,626,30,78,2024-01-24 00:00:00
383,467,38,63,2024-01-24 01:00:00
404,650,35,96,2024-01-24 02:00:00
384,449,35,97,2024-01-24 03:00:00
410,774,35,68,2024-01-24 04:00:00
449,869,51,83,2024-01-24 05:00:00
551,758,47,68,2024-01-24 06:00:00
1313,1827,96,79,2024-01-24 07:00:00
1560,2475,103,107,2024-01-24 08:00:00
2067,1864,114,95,2024-01-24 09:00:00
741,882,57,140,2024-01-24 10:00:00
638,1312,72,104,2024-01-24 11:00:00
798,1400,74,151,2024-01-24 12:00:00
630,1074,62,123,2024-01-24 13:00:00
455,1207,58,131,2024-01-24 14:00:00
535,1212,78,124,2024-01-24 15:00:00
430,850,62,97,2024-01-24 16:00:00
1327,1663,92,74,2024-01-24 17:00:00
1304,1972,68,95,2024-01-24 18:00:00
1501,1923,59,81,2024-01-24 19:00:00
464,767,40,102,2024-01-24 20:00:00
396,569,40,86,2024-01-24 21:00:00
433,800,32,79,2024-01-24 22:00:00
247,544,37,55,2024-01-24 23:00:00
377,554,27,70,2024-01-25 00:00:00
413,622,31,74,2024-01-25 01:00:00
300,761,42,100,2024-01-25 02:00:00
481,741,45,91,2024-01-25 03:00:00
465,752,42,109,2024-01-25 04:00:00
450,822,41,105,2024-01-25 05:00:00
570,839,44,93,2024-01-25 06:00:00
1881,1947,79,91,2024-01-25 07:00:00
1538,1189,99,99,2024-01-25 08:00:00
1637,1930,108,87,2024-01-25 09:00:00
611,1088,61,124,2024-01-25 10:00:00
586,889,56,130,2024-01-25 11:00:00
761,1146,70,168,2024-01-25 12:00:00
586,1042,59,92,2024-01-25 13:00:00
663,1326,61,155,2024-01-25 14:00:00
586,1249,76,109,2024-01-25 15:00:00
642,891,67,95,2024-01-25 16:00:00
1473,1756,86,106,2024-01-25 17:00:00
1505,1648,63,92,2024-01-25 18:00:00
1109,1433,74,91,2024-01-25 19:00:00
425,729,51,99,2024-01-25 20:00:00
350,582,39,107,2024-01-25 21:00:00
360,512,46,84,2024-01-25 22:00:00
391,647,44,72,2024-01-25 23:00:00
407,639,46,77,2024-01-26 00:00:00
319,521,39,88,2024-01-26 01:00:00
436,701,42,68,2024-01-26 02:00:00
495,595,50,74,2024-01-26 03:00:00
471,736,47,85,2024-01-26 04:00:00
617,865,44,66,2024-01-26 05:00:00
461,830,49,106,2024-01-26 06:00:00
1143,1922,87,64,2024-01-26 07:00:00
1100,1771,73,97,2024-01-26 08:00:00
1935,1964,93,114,2024-01-26 09:00:00
722,1019,77,122,2024-01-26 10:00:00
667,956,45,168,2024-01-26 11:00:00
707,1056,83,106,2024-01-26 12:00:00
559,826,79,159,2024-01-26 13:00:00
898,974,61,145,2024-01-26 14:00:00
645,968,68,94,2024-01-26 15:00:00
610,923,60,169,2024-01-26 16:00:00
1558,1734,100,89,2024-01-26 17:00:00
1398,1654,90,72,2024-01-26 18:00:00
1243,1650,57,61,2024-01-26 19:00:00
391,802,48,86,2024-01-26 20:00:00
440,593,40,81,2024-01-26 21:00:00
495,506,39,78,2024-01-26 22:00:00
445,500,33,71,2024-01-26 23:00:00
272,325,28,48,2024-01-27 00:00:00
206,337,26,42,2024-01-27 01:00:00
198,328,21,33,2024-01-27 02:00:00
242,318,20,48,2024-01-27 03:00:00
269,397,25,34,2024-01-27 04:00:00
337,475,31,61,2024-01-27 05:00:00
234,546,32,53,2024-01-27 06:00:00
1038,991,60,55,2024-01-27 07:00:00
880,1082,60,69,2024-01-27 08:00:00
889,1047,65,52,2024-01-27 09:00:00
335,629,41,92,2024-01-27 10:00:00
304,565,32,76,2024-01-27 11:00:00
458,708,40,103,2024-01-27 12:00:00
409,474,47,76,2024-01-27 13:00:00
318,598,39,69,2024-01-27 14:00:00
306,635,41,84,2024-01-27 15:00:00
342,593,34,67,2024-01-27 16:00:00
1056,1518,43,47,2024-01-27 17:00:00
753,1056,46,47,2024-01-27 18:00:00
560,786,45,46,2024-01-27 19:00:00
257,420,24,64,2024-01-27 20:00:00
237,290,24,35,2024-01-27 21:00:00
138,367,20,47,2024-01-27 22:00:00
